disease_name	disease_id	1049-953_cmpd_diff	1150-1049_cmpd_diff	1250-1150_cmpd_diff	1350-1250_cmpd_diff	1450-1350_cmpd_diff	1550-1450_cmpd_diff	1650-1550_cmpd_diff	1750-1650_cmpd_diff	1852-1750_cmpd_diff	1950-1852_cmpd_diff	2050-1950_cmpd_diff	2150-2050_cmpd_diff	2250-2150_cmpd_diff	2294-2250_cmpd_diff	1049-953_top10_diff	1150-1049_top10_diff	1250-1150_top10_diff	1350-1250_top10_diff	1450-1350_top10_diff	1550-1450_top10_diff	1650-1550_top10_diff	1750-1650_top10_diff	1852-1750_top10_diff	1950-1852_top10_diff	2050-1950_top10_diff	2150-2050_top10_diff	2250-2150_top10_diff	2294-2250_top10_diff
Depressive Disorder	MESH:D003866	2	6	11	16	5	11	9	7	4	8	6	2	1	2	4	-6.2	2.1	2.4	-2.8	-3.2	0.6	3.5	1.3	3.2	0.7	-1.1	0.3	-0.3
Hyperkinesis	MESH:D006948	5	2	11	13	5	10	10	3	5	5	5	6	2	2	2	-0.5	-4.4	8.6	-2.8	3	0.4	1	2.4	-0.5	0.5	0.6	-0.3	-0.3
Substance Withdrawal Syndrome	MESH:D013375	6	2	10	13	7	10	10	7	6	8	7	3	3	3	1.2	3.7	12.1	8.8	4.9	5.5	3.1	-0.6	2.1	-0.3	1.2	0.8	-0.9	1.6
Catalepsy	MESH:D002375	3	3	10	13	6	10	9	4	6	3	6	5	5	1	1.1	5.1	12.7	1.5	1	1	1.5	2.1	-0.6	0.7	-1.4	1.1	0.2	0.1
Prostatic Neoplasms	MESH:D011471	2	4	6	3	8	8	4	14	5	8	11	7	5	1	0	-2.4	-8.1	-0.3	-3.7	10.7	-4	4.8	1.8	5.2	3.7	4.3	0.8	-1.4
Hypotension	MESH:D007022	3	7	14	3	8	9	10	11	10	3	6	5	2	2	2	-3.3	5.5	-0.8	-1.4	9.3	0.5	2.9	0.1	0.2	0.3	0.9	-1	-0.2
Cocaine-Related Disorders	MESH:D019970	4	6	10	11	6	7	12	6	6	6	4	5	6	1	-9.8	4.9	-4.9	21.9	-2.2	7.4	1.8	3.5	4.1	-1.3	-1.1	1.2	0.7	-0.5
Neoplasms	MESH:D009369	1	4	9	6	3	2	6	12	7	9	8	5	6	2	4.3	-5.6	6.3	4.8	-0.4	-1.3	5.3	-0.5	-0.1	0	3.3	3.3	-0.1	-1.7
Myocardial Infarction	MESH:D009203	4	3	11	8	5	4	9	8	9	6	5	4	6	1	-6.7	1.7	8	-2.8	0.5	-0.3	7.2	-2.4	4.2	0.2	1.9	-0.6	-0.8	-0.6
Heart Failure	MESH:D006333	1	8	10	10	6	9	9	8	8	5	6	1	2	2	-1.4	22.9	-1.5	4.9	0.7	0.8	2	-1.2	-1.1	-1.1	-0.5	-1.6	-0.1	-0.1
Neoplasms, Experimental	MESH:D009374	2	4	8	6	4	6	6	10	5	8	12	3	4	1	-3.3	4	-1.8	0.6	0.4	-3.2	-2.5	1.3	3.8	1.6	0.4	2.6	3.8	1.4
Arrhythmias, Cardiac	MESH:D001145	3	6	10	10	8	7	8	6	8	5	2	0	4	1	13.2	-18.5	5.5	-2.3	-3.4	2.6	1.4	-2.5	2.4	2.6	0	0	1.9	-0.6
Tachycardia	MESH:D013610	3	5	8	14	4	6	7	5	10	7	2	0	3	4	10.3	-1.5	-3.8	6.5	0.5	3	1.4	-1	-5.3	-5.4	-0.3	0	0.1	2.6
Dyskinesia, Drug-Induced	MESH:D004409	1	5	5	11	4	8	10	5	5	4	4	4	3	0	-1	-1.1	4.3	7.3	-2.9	10	7.6	1.8	0.3	2.1	-0.3	-0.3	-0.7	0
Drug-Related Side Effects and Adverse Reactions	MESH:D064420	3	3	7	8	8	6	6	12	2	8	2	3	5	0	5.7	1.1	12	11.6	-7.4	2.8	5.3	1.6	-5.2	5.2	0	1.6	1.5	-1.1
Acute Kidney Injury	MESH:D058186	3	2	8	7	10	8	5	6	6	1	4	3	3	1	-4.9	-2.7	8.2	-3.4	-3.2	5	-3.5	1.5	-1.1	-2.9	-0.9	2.9	-0.4	-0.5
Proteinuria	MESH:D011507	1	4	7	13	8	5	4	8	9	4	5	4	3	1	13.7	1.6	3.5	2.6	6.1	2.3	2.9	1.8	-1.9	-0.4	0.1	-1.5	3.5	-0.6
Memory Disorders	MESH:D008569	3	1	9	6	6	4	4	5	5	8	4	4	5	1	-8.4	-1.4	2.6	-1.7	0.6	2.1	-1.4	2.5	-2	2.9	0	3.5	0.4	-2.7
Neoplasm Metastasis	MESH:D009362	4	4	4	6	4	3	2	9	6	4	7	5	6	1	2.1	-1.8	13.4	-2.5	0.2	-0.9	4.2	5.8	-2.2	1.2	5.5	-1.3	-4.2	0.5
Melanoma	MESH:D008545	3	5	4	3	4	3	2	3	6	4	9	5	6	2	1.4	-3	8.7	2.9	1.9	2.2	0.7	3.7	4.6	-4.3	7.8	-1.7	2.8	-1.1
Lung Neoplasms	MESH:D008175	0	3	5	6	4	7	2	10	5	5	7	3	5	1	0	-6	-4	1.6	5.9	7.8	-4.3	3.2	8.3	-0.2	-5.8	1.7	2.5	-1.9
Cognition Disorders	MESH:D003072	1	1	11	8	3	7	3	6	7	4	6	4	2	3	10.5	-1.2	2.3	5.6	0.3	4.1	3.9	1.3	6.8	7.6	-0.2	1.1	-1.3	-0.7
Cardiomegaly	MESH:D006332	0	3	6	6	6	5	5	4	5	5	4	4	3	1	-4	3.2	-4	2.3	-0.6	4.2	3.5	-1.3	2.8	-0.4	1.5	-2.4	0.8	-1.7
Anxiety Disorders	MESH:D001008	4	2	8	16	4	7	5	3	2	3	4	3	1	1	-6.4	9.6	8.4	14.8	0.9	-0.8	-0.3	-1.3	-1.7	0.2	0.8	-2.3	-0.7	-0.7
Weight Loss	MESH:D015431	1	3	4	3	5	4	7	8	2	8	5	8	4	1	-2.3	-1.2	-2.5	-0.5	0.3	3.9	-4.4	9.4	0.1	-2.8	1.1	-2.1	-0.9	0.7
Pain, Postoperative	MESH:D010149	4	1	6	13	10	6	10	8	4	3	1	2	2	1	1.4	11.9	28.6	2.8	-1.1	2.4	2.3	0.8	1.7	1.2	0.3	-0.6	-1.7	-0.9
Bradycardia	MESH:D001919	2	7	8	5	4	4	6	6	5	2	4	2	1	0	-10.7	10.8	1.1	-2.7	-3.3	4.4	-1	2.1	1.1	-1.3	1.6	2.6	-0.6	0
Schizophrenia	MESH:D012559	2	1	7	9	2	12	9	2	3	3	0	3	2	4	2.1	0.9	-14.6	3	3.9	2.6	3.7	-3.9	-0.3	-0.3	0	1.1	-2	0.2
Ventricular Dysfunction, Left	MESH:D018487	1	8	7	6	3	6	7	7	5	5	4	0	2	3	-10	7.8	2.2	-5.6	-0.9	-1.3	2	-3.6	6.2	1	2.8	-1.3	-1.3	-1.9
Hyperglycemia	MESH:D006943	2	0	8	5	3	3	4	1	4	9	3	4	2	0	-4	-3.1	-6.2	3.3	-1.3	-5	-3.4	1	-3	6.2	-2	-3.7	0.2	0
Nerve Degeneration	MESH:D009410	1	2	4	11	4	1	6	3	6	2	4	3	4	1	7	-2.4	2.6	10.6	-5.9	-0.8	-0.3	-0.1	1.3	3.6	-0.9	1.1	5.8	0.7
Colonic Neoplasms	MESH:D003110	2	3	9	8	3	4	0	6	3	6	5	3	1	0	6.3	7.7	7.5	-5.5	-4.4	1.3	-2	-3.3	1.8	6.2	-2.6	2.6	0.8	-1.3
Tremor	MESH:D014202	2	4	6	10	5	6	10	6	1	2	3	1	2	3	-10.7	30	2.6	-10.4	1.5	4.4	-0.5	2.9	0.7	-1.7	2	0.6	-0.2	1.7
Bipolar Disorder	MESH:D001714	0	3	10	15	6	12	9	3	2	1	1	4	1	1	0	-18.5	50	-2.9	3.8	7	-0.2	-3.1	-0.5	-0.9	-2.4	-1.9	-0.8	1.9
Cardiomyopathies	MESH:D009202	0	2	6	6	5	3	5	4	8	5	2	2	4	0	-4.5	-2.7	0.9	6.1	-2	2.2	0.4	2.9	3	-1.7	-1.2	0.3	1.8	-1.3
Arthritis, Rheumatoid	MESH:D001172	4	3	3	8	5	6	3	6	5	1	4	1	4	0	8.6	-0.5	3.2	10.7	6	3.4	4.5	1.9	-2.2	-1.1	-0.9	-0.9	5	-1.4
Fever	MESH:D005334	2	4	5	6	9	6	3	4	4	4	3	3	1	0	2.8	8.6	4.3	-1.7	5.7	2.6	-4.9	2.2	-1.4	5.2	-3.9	-0.6	-3.5	0
Amnesia	MESH:D000647	2	4	2	3	2	1	2	2	3	4	3	3	2	0	2.3	-5.5	2.2	-1.4	2	-1.1	5.6	-4.1	2.3	6.1	0.1	1.6	-0.4	-2.9
Carcinoma, Hepatocellular	MESH:D006528	1	2	7	3	4	1	4	5	3	5	5	2	2	1	-1	-2	4.2	-5	10.3	-0.8	3.8	-5.5	7.7	7.1	1.2	0.1	0.1	-0.7
Atherosclerosis	MESH:D050197	1	4	7	10	4	3	2	3	5	2	5	2	3	1	-3.3	5	-3.2	-8.6	-1.8	1.7	-1.8	-2.6	5.7	5.6	-0.9	0.1	-2.3	-0.7
Movement Disorders	MESH:D009069	2	3	4	7	4	9	7	5	3	3	3	4	2	0	15.3	9.7	0	-2.8	3.6	1.7	17.1	-0.4	-2.4	-0.5	-0.4	0.6	-2.7	-1.5
Stomach Ulcer	MESH:D013276	2	2	5	6	3	3	5	1	3	3	4	4	1	0	1.9	8.8	3.6	1.7	-3	2	2	1.1	3.1	4.6	-3.3	-2.9	-2.2	0
Pancreatic Neoplasms	MESH:D010190	1	0	2	3	4	3	1	4	5	5	6	5	7	1	8.7	-5	-2.8	0.8	-3.9	0.9	5.3	-0.6	1.2	-1.2	-1.4	-2.5	1.8	2.7
Migraine Disorders	MESH:D008881	1	1	9	10	7	3	9	2	5	4	4	1	0	1	0	12.5	16.9	11.3	3.4	1.8	-2.5	-1.8	5.5	-3.3	7	-0.8	0	-0.8
Adenocarcinoma	MESH:D000230	1	3	3	3	5	4	2	7	4	6	4	3	5	1	-0.64	4.81	8.5	-2.9	0.4	7.3	-1.6	0.8	9	4	2.7	-2.2	3.4	-0.7
Myocardial Ischemia	MESH:D017202	0	5	5	5	2	8	4	6	7	3	1	2	4	2	0	15.3	12.4	2.7	-2.4	5.3	-0.9	4.8	-1.2	-0.2	-0.7	-1.2	4.4	-2.9
Staphylococcal Infections	MESH:D013203	3	4	2	3	4	9	1	5	3	4	3	5	0	1	-2.1	-0.3	-6.6	-0.3	4.1	3.6	0.6	4.7	-3.1	-0.3	3	-0.2	0	0.3
Multiple Myeloma	MESH:D009101	2	3	2	5	4	2	2	7	2	7	4	1	5	0	10.8	11.8	1.2	-7.3	5.9	4	0.5	0.3	2.7	1.9	0.2	1	-5.6	-1.6
Fibrosis	MESH:D005355	0	2	1	7	6	3	4	4	4	3	4	3	4	1	0	-1.7	-0.8	9.1	9.2	-5.8	8.2	-5.6	4.3	2.2	3.2	5.3	2.2	2.6
Reperfusion Injury	MESH:D015427	0	1	5	10	3	9	2	1	5	1	4	2	3	0	0	3.3	-9.8	-2.5	-1.1	2.6	-2.2	-1	-4.4	-4.7	-0.7	0.6	1.6	0
Postoperative Complications	MESH:D011183	3	4	2	7	3	5	11	4	5	4	5	1	2	0	0	10	-1.67	-3.07	3.83	-5.39	25.2	2	-3.3	-2.2	-0.4	-0.5	2.6	0
Ovarian Neoplasms	MESH:D010051	1	3	2	2	0	0	1	12	5	5	3	3	6	1	-1.6	6.5	6.5	-3.3	0	0	6.9	0	4.7	1.5	-3	-0.6	2.3	0.9
Liver Cirrhosis, Experimental	MESH:D008106	0	0	3	7	6	3	3	5	1	4	3	3	2	1	-5.6	0	5.6	-1.2	9	-6	2.4	-2	-2.9	13.4	-2.7	-0.5	0.3	0.9
Hemorrhage	MESH:D006470	2	1	5	3	3	6	2	7	5	3	0	2	0	1	8.5	-5.4	-2.5	5.5	4.6	4.4	-1.3	11.1	2.3	1.5	0	0.4	-1.7	-0.7
Heart Diseases	MESH:D006331	1	1	6	6	4	6	4	2	5	2	1	4	2	0	12.5	-0.8	1.3	14.5	-0.3	-6.7	0.4	1.3	1.8	1	1.4	3.4	-1	0
Asthma	MESH:D001249	1	7	4	3	3	5	4	5	4	1	2	1	3	0	-2.3	14.8	-3.6	-1.3	1.9	6.8	-2.7	3	1.6	-1	-5.7	-0.8	-0.8	0
Mental Disorders	MESH:D001523	3	1	6	9	2	8	7	2	1	4	1	3	0	0	2.6	-3.8	18.1	-8.1	-4	5.7	-1.2	-0.6	-1.2	4.6	-1.2	3.5	0	0
Renal Insufficiency	MESH:D051437	1	2	6	7	4	7	4	4	1	3	5	1	1	1	0	0	10.5	1	5.1	10.4	7.1	3.6	-0.8	1.8	-1.7	3	1	-2.5
Tachycardia, Ventricular	MESH:D017180	1	3	5	6	4	3	4	6	6	2	0	1	1	3	-8.91	4.81	20.8	-7.4	-0.1	9.4	6.9	-3.5	-0.6	0.4	-1.9	-0.7	-0.7	3.4
Colorectal Neoplasms	MESH:D015179	1	4	5	2	5	3	1	5	2	4	4	3	5	1	5.1	-9	-2.2	1.9	5.3	3.1	-1.2	0.5	3.2	3.1	2.7	3.2	-2.6	0.9
Insulin Resistance	MESH:D007333	1	1	6	5	3	3	4	3	3	2	1	3	4	0	-2.3	-2.1	2.3	-3.6	2.4	4.8	0.4	1.4	3.3	6.1	-1.1	-5.1	-1.8	-3.5
Bacterial Infections	MESH:D001424	1	7	3	6	4	7	3	6	4	1	3	3	0	1	-4.2	16.7	7.8	-5.8	-7.2	7.9	6.2	1.1	-4.9	0.9	2.4	0.5	0	0.7
Vomiting	MESH:D014839	0	3	4	4	5	6	7	4	7	2	3	0	1	1	0	-2.8	-4.1	2.5	-4	-7	7.8	-1.1	7.1	0.3	-0.6	0	-0.7	-0.8
Psychotic Disorders	MESH:D011618	3	2	5	11	2	10	5	1	1	2	1	2	1	0	1.5	5.1	-1.6	2.7	1.9	2.4	3	0.5	0.5	-1	0.4	0.9	-1.3	0
Mammary Neoplasms, Experimental	MESH:D008325	1	1	5	3	4	3	3	4	2	5	1	3	1	1	-1.3	-1.2	10.8	10.2	-8.5	8.1	1.7	-4.3	-1.8	2	-0.9	-0.4	2.9	2.8
Liver Cirrhosis	MESH:D008103	0	2	2	6	5	2	3	4	1	6	5	3	1	3	0	-5.1	1.9	-9.2	2.5	-1.9	0.6	-2.9	-0.7	8.2	-3.3	2.2	3.2	7.1
Urinary Bladder Neoplasms	MESH:D001749	0	2	4	1	5	3	2	11	3	2	1	3	3	0	0	9.7	5	-1.2	6.1	3.3	0.9	0	4.1	-1.7	3.3	-0.5	3.1	0
Albuminuria	MESH:D000419	1	3	3	5	4	5	4	3	4	2	2	1	2	1	-7.4	17.4	4.1	-3.4	-1.4	0.8	8.8	-0.8	2.7	4.2	0	0.9	0	-0.9
Depressive Disorder, Major	MESH:D003865	0	2	7	7	5	7	4	3	1	1	5	3	1	2	0	-9.5	41.7	-9.8	-8.1	0	-5.9	-3.6	1.2	3.4	-3.3	-0.9	-0.9	-1.7
Brain Ischemia	MESH:D002545	0	3	7	5	7	4	3	1	4	4	0	1	2	0	0	4.56	9.1	-3.6	7.8	7.5	0	-0.7	3.6	1.1	0	3.1	-3.3	0
Brain Injuries	MESH:D001930	0	0	2	7	2	7	8	4	6	4	1	2	2	1	0	0	-2.01	13.11	-2.2	5.9	-3.1	7.9	9.3	4.8	-0.8	-1.7	3.9	-0.8
Parkinsonian Disorders	MESH:D020734	0	3	2	4	1	4	6	4	1	0	4	3	4	1	0	-2	-4.1	-6.3	6.1	10.9	-3	2.6	1.1	-2.3	2.1	5	1.3	-2.9
Parkinson Disease	MESH:D010300	1	3	3	4	3	7	6	3	1	3	2	3	3	1	-3	6.7	-6.7	-6.1	0.8	9.5	1.9	6.9	-1.1	-3	0.3	1.5	-2.5	2.9
Learning Disabilities	MESH:D007859	2	1	5	4	2	3	3	2	4	2	0	2	2	1	-2.9	2.9	1.1	4.9	3.5	1.9	-3.3	-1.9	0.9	0.4	0	2.3	-1.6	-4.5
Angina Pectoris	MESH:D000787	2	6	4	8	3	3	5	1	9	0	0	0	0	1	1.2	12.2	7.5	-6.3	0.9	-1.9	2.9	-1.3	7.3	0	-1.9	0	0	-1.1
Leukemia, Myeloid, Acute	MESH:D015470	1	2	1	6	5	2	1	5	2	6	3	2	4	2	13.7	-14.3	-9.1	-7.6	7.9	5.2	2.3	-5	9.4	4	-5.1	4.8	2.5	4
Pulmonary Edema	MESH:D011654	0	2	5	7	3	3	6	2	4	4	3	1	2	0	0	-1.4	8.91	-4.6	5.8	4.7	7.2	6.1	-1	-0.8	-2	-0.7	-1.2	0
Ventricular Fibrillation	MESH:D014693	1	2	6	8	3	3	2	4	5	2	2	0	1	0	-2.2	-3.5	11.3	3.7	2.4	-9.1	3.5	-1.1	11.1	0.1	0.1	0	-4.7	0
Myoclonus	MESH:D009207	3	1	4	13	1	3	7	3	3	4	2	1	1	0	16.7	-3.3	-8.6	8.2	-1.1	6.9	1.4	-0.3	-0.2	-0.9	2.6	1.2	-0.8	-1.9
Hypertension, Pulmonary	MESH:D006976	1	3	4	3	5	3	5	3	4	6	3	1	0	0	-1.5	-3.3	-2.8	-1.41	13.11	1.1	8.1	-2.5	2	6.6	1.7	1.1	-1.9	0
Fatty Liver	MESH:D005234	3	0	4	6	3	3	3	1	1	0	2	3	5	2	2.3	0	-8	0.7	5	-4.5	-1.1	-2.9	4.8	0	1.6	1.1	4.3	4.9
Epilepsy	MESH:D004827	3	2	2	5	3	7	7	3	5	1	2	2	0	2	11.3	2.1	-5.1	-3.3	0.4	9.6	3.2	6.8	3.3	-3.3	4.1	3.8	0	1.7
Thrombosis	MESH:D013927	4	2	3	4	2	3	4	3	5	1	3	2	1	1	6.4	7.4	-0.5	-9.4	12.3	-0.5	1.3	2.1	-0.3	1.3	-0.6	-1.7	-2.8	-0.8
Pneumonia	MESH:D011014	2	3	4	1	4	9	4	4	4	5	1	2	0	0	15	-1.6	-9	3.9	3	12	5.9	-0.4	2	0.4	-1.1	-0.2	0	0
Diabetic Nephropathies	MESH:D003928	1	1	5	4	3	3	5	4	2	4	4	1	1	0	-0.55	6.16	16.7	3.3	3.7	-0.4	9.1	-4.7	5.3	4.8	1.9	3	-1.1	0
Neoplasm Invasiveness	MESH:D009361	2	1	0	5	1	2	1	3	1	3	4	2	2	0	11.9	-2.5	0	-3.5	-1.8	-3.3	-1.5	1.2	-1.4	1.1	-2.3	-2.1	-3.9	0
Hypercholesterolemia	MESH:D006937	3	1	5	3	4	2	2	3	2	3	4	2	1	0	7.7	3.8	6	-4.2	15	6.2	-6	4.1	-0.1	5.6	-5	-2.1	-5	0
Hypertrophy, Left Ventricular	MESH:D017379	0	2	3	5	3	4	6	4	4	3	4	0	2	0	0	5	15.6	-11.3	0.3	14.3	16.4	1.3	-1.3	2.6	2.9	0	-2.7	0
Leukemia	MESH:D007938	0	3	2	2	2	1	1	8	2	7	4	2	4	1	-10	18.4	-5.1	1.9	-3.7	-1.5	3.3	-2.3	-2	7.8	1.2	5.1	0.6	-0.9
Hyperplasia	MESH:D006965	2	3	3	6	2	3	3	4	3	4	4	2	1	0	-8.1	6.5	-7.6	-0.5	1.3	-0.3	3	1.3	-0.6	-1.4	-3.3	-3.5	-0.6	0
Diarrhea	MESH:D003967	1	3	2	6	4	4	3	3	6	1	0	1	1	0	-10	-1.2	-3.8	3.4	8.2	3.4	-4.1	-10.9	4.1	3.4	0	-0.9	-0.8	-2.1
Atrial Fibrillation	MESH:D001281	2	2	4	2	4	2	7	7	4	3	0	0	2	1	-8.1	2.1	2.7	-9.6	-1.1	-2.4	9.5	-1.7	-3.3	4.4	0	0	0.6	-0.8
Urinary Tract Infections	MESH:D014552	4	3	4	1	3	8	2	3	3	2	2	3	1	2	7.8	20.8	9.5	-3.5	0.5	6.4	1.8	5.3	1.8	1.1	3.3	-3.3	-1.8	-1.2
Obesity	MESH:D009765	2	0	3	5	1	3	1	2	4	3	1	3	3	0	0	0	-2.4	-5.3	-5.3	-3.7	-4.3	-1.8	-0.2	-7	-0.5	0.9	5.1	0
Glioma	MESH:D005910	0	1	3	1	5	2	1	8	3	2	5	0	3	0	0	-1.1	-2.5	-0.6	6.2	-1.3	-0.7	2.3	4	1.4	6.5	0	-1.9	0
Glioblastoma	MESH:D005909	1	3	2	4	1	2	1	3	4	3	5	1	3	0	5.2	-4.4	-7.2	1.6	7.4	-1.8	-0.8	1.1	3.2	3.2	8.3	-0.9	-0.2	0
Carcinoma, Non-Small-Cell Lung	MESH:D002289	1	3	2	3	1	2	2	8	4	2	3	4	4	0	-4.2	-8.3	-3.6	-3.8	-6.5	3.9	-1.4	6.4	12.3	1	7.7	5.5	4.5	0
Alzheimer Disease	MESH:D000544	2	2	3	6	3	4	6	0	2	2	3	2	1	0	0	6.66	-1.11	-1.39	6.94	-1.43	9.23	-2.7	-3.4	1.8	5.8	-0.9	-0.4	-2.1
Liver Neoplasms	MESH:D008113	1	3	3	5	2	2	0	4	3	2	3	3	5	0	-0.91	-1.95	16.36	3.7	6.1	1.3	0	5.4	2.4	-8.2	7.9	4.2	1.5	0
Stomach Neoplasms	MESH:D013274	1	2	3	4	3	0	1	5	4	2	3	2	5	0	0	0	6.25	13.75	10.4	0	-1.3	5.3	4.9	0.7	-5.8	0.8	2.7	0
Status Epilepticus	MESH:D013226	2	1	4	6	2	4	5	2	6	1	2	0	3	1	0	0	0	15.7	-1.5	9.8	-0.7	-1.5	1.8	-0.6	1.3	0	2.9	1.6
Muscle Rigidity	MESH:D009127	0	2	1	4	1	3	5	5	1	2	1	3	4	0	-7.69	26.6	-1.6	0	3.5	-3.5	6	10.1	-4	0.7	-1	-5.1	-0.6	0
Hyperlipidemias	MESH:D006949	1	1	6	5	4	1	2	2	1	2	2	2	3	0	13.71	-1.4	8.5	-9.3	14.1	2.1	0.9	3.7	1.6	3.1	0.3	0.2	-3	0
Cardiovascular Diseases	MESH:D002318	0	5	8	3	4	2	2	1	4	3	0	1	1	0	0	10	-14.8	-3.7	1.8	-4	-0.5	-1.7	1.8	0.6	0	0.9	-1.4	-2.2
Carcinoma	MESH:D002277	2	4	5	3	2	1	1	5	4	1	3	3	4	0	0	8.33	15.17	1.5	-6.9	-0.8	-0.7	4	12.7	1.9	5.3	2	-3.9	0
Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198		3	0	4	2	2	2	6	4	4	6	2	5	1		0	0	22.2	5	18.9	7.2	-10.5	9.2	6.6	-1.5	5	-0.2	-1.5
Weight Gain	MESH:D015430	0	0	3	5	1	4	1	2	2	3	3	2	2	1	-7.06	0	-7.14	4.54	-0.2	10.46	-0.6	2.4	-1	1.5	3.9	6.5	-1.4	-0.6
Psoriasis	MESH:D011565	2	4	2	5	1	3	2	5	4	0	3	1	4	0	11.1	27.3	-5.1	1.7	-1.7	8.3	4.5	5.5	5.5	0	3.4	3.6	5.6	0
Headache	MESH:D006261	1	2	6	9	6	2	7	2	3	2	0	0	0	0	0	0	8.33	20.17	8.5	-2.6	10	-2.3	1.8	0.2	0	0	-2.3	-2.3
Dystonia	MESH:D004421	1	1	4	6	3	7	7	1	4	1	0	2	1	0	16.6	11.9	-1.3	2.2	0.6	14.4	5.6	1.4	-2.7	3.8	-2.5	-2.4	-1.1	0
Carcinoma, Squamous Cell	MESH:D002294	0	2	3	1	1	0	1	6	6	3	6	2	3	0	0	-2.01	-1.95	-0.48	12.04	0	4.8	2.5	18.8	-1.1	-6.9	-1.8	4.5	0
Personality Disorders	MESH:D010554	2	4	5	8	2	2	7	2	2	1	0	0	2	0	0	9.09	-2.84	27.05	-6.4	15.9	5.7	2.8	-0.1	3.8	-2.5	0	-2.5	0
Endocarditis, Bacterial	MESH:D004697	2	3	2	0	4	7	1	3	3	3	0	5	0	0	-9.1	1.9	-5.3	0	-2.5	0.1	0.6	1.3	-4.7	-1.3	0	2.3	0	0
Diabetes Mellitus, Type 2	MESH:D003924	2	1	5	3	1	2	2	0	2	4	3	3	3	0	-4.2	-15.86	13.86	-7.4	3.7	6.7	-1.8	0	-1.6	12.7	0	-2.6	7.3	0
Poisoning	MESH:D011041	2	0	4	2	3	2	6	1	3	0	0	1	2	0	-3.1	0	-4.5	2.7	5.2	5.2	12	-4.1	-3.2	0	0	1.6	-1.9	0
Sleep Initiation and Maintenance Disorders	MESH:D007319	0	2	5	6	1	9	5	1	2	1	2	2	0	0	0	17.1	-7.1	22.2	6.7	-7.5	-4.8	-1.9	-0.9	-1.7	-0.6	1.9	0	0
Disease Models, Animal	MESH:D004195	1	0	3	1	3	2	5	3	2	1	5	0	2	1	-0.64	0	-1.44	11.35	-2.6	7.7	3.2	4.1	-1.9	2.2	3.9	0	-1.7	-0.8
Stroke	MESH:D020521	0	1	6	3	6	4	4	4	1	3	1	1	2	0	0	0	45.4	-9.7	4.3	-2.5	-1.8	1.8	-4.2	5.5	-1	-1	3.2	0
