disease_name	disease_id	953_cmpds	1049_cmpds	1150_cmpds	1250_cmpds	1350_cmpds	1450_cmpds	1550_cmpds	1650_cmpds	1750_cmpds	1852_cmpds	1950_cmpds	2050_cmpds	2150_cmpds	2250_cmpds	2294_cmpds	953_top10	1049_top10	1150_top10	1250_top10	1350_top10	1450_top10	1550_top10	1650_top10	1750_top10	1852_top10	1950_top10	2050_top10	2150_top10	2250_top10	2294_top10
Cocaine-Related Disorders	MESH:D019970	28	32	38	48	59	65	72	84	90	96	102	106	111	117	118	28.5	18.7	23.6	18.7	40.6	38.4	45.8	47.6	51.1	55.2	53.9	52.8	54	54.7	54.2
Neoplasms	MESH:D009369	38	39	43	52	58	61	63	69	81	88	97	105	110	116	118	31.5	35.8	30.2	36.5	41.3	40.9	39.6	44.9	44.4	44.3	44.3	47.6	50.9	50.8	49.1
Myocardial Infarction	MESH:D009203	28	32	35	46	54	59	63	72	80	89	95	100	104	110	111	53.5	46.8	48.5	56.5	53.7	54.2	53.9	61.1	58.7	62.9	63.1	65	64.4	63.6	63
Heart Failure	MESH:D006333	23	24	32	42	52	58	67	76	84	92	97	103	104	106	108	34.7	33.3	56.2	54.7	59.6	60.3	61.1	63.1	61.9	60.8	59.7	59.2	57.6	57.5	57.4
Neoplasms, Experimental	MESH:D009374	26	28	32	40	46	50	56	62	72	77	85	97	100	104	105	46.1	42.8	46.8	45	45.6	46	42.8	40.3	41.6	45.4	47	47.4	50	53.8	55.2
Arrhythmias, Cardiac	MESH:D001145	23	26	32	42	52	60	67	75	81	89	94	96	96	100	101	52.1	65.3	46.8	52.3	50	46.6	49.2	50.6	48.1	50.5	53.1	53.1	53.1	55	54.4
Tachycardia	MESH:D013610	19	22	27	35	49	53	59	66	71	81	88	90	90	93	97	57.8	68.1	66.6	62.8	69.3	69.8	72.8	74.2	73.2	67.9	62.5	62.2	62.2	62.3	64.9
Dyskinesia, Drug-Induced	MESH:D004409	28	29	34	39	50	54	62	72	77	82	86	90	94	97	97	28.5	27.5	26.4	30.7	38	35.1	45.1	52.7	54.5	54.8	56.9	56.6	56.3	55.6	55.6
Drug-Related Side Effects and Adverse Reactions	MESH:D064420	23	26	29	36	44	52	58	64	76	78	86	88	91	96	96	17.3	23	24.1	36.1	47.7	40.3	43.1	48.4	50	44.8	50	50	51.6	53.1	52
Acute Kidney Injury	MESH:D058186	29	32	34	42	49	59	67	72	78	84	85	89	92	95	96	51.7	46.8	44.1	52.3	48.9	45.7	50.7	47.2	48.7	47.6	44.7	43.8	46.7	46.3	45.8
Proteinuria	MESH:D011507	19	20	24	31	44	52	57	61	69	78	82	87	91	94	95	26.3	40	41.6	45.1	47.7	53.8	56.1	59	60.8	58.9	58.5	58.6	57.1	60.6	60
Memory Disorders	MESH:D008569	28	31	32	41	47	53	57	61	66	71	79	83	87	92	93	53.5	45.1	43.7	46.3	44.6	45.2	47.3	45.9	48.4	46.4	49.3	49.3	52.8	53.2	50.5
Neoplasm Metastasis	MESH:D009362	22	26	30	34	40	44	47	49	58	64	68	75	80	86	87	36.3	38.4	36.6	50	47.5	47.7	46.8	51	56.8	54.6	55.8	61.3	60	55.8	56.3
Melanoma	MESH:D008545	26	29	34	38	41	45	48	50	53	59	63	72	77	83	85	19.2	20.6	17.6	26.3	29.2	31.1	33.3	34	37.7	42.3	38	45.8	44.1	46.9	45.8
Lung Neoplasms	MESH:D008175	22	22	25	30	36	40	47	49	59	64	69	76	79	84	85	50	50	44	40	41.6	47.5	55.3	51	54.2	62.5	62.3	56.5	58.2	60.7	58.8
Cognition Disorders	MESH:D003072	17	18	19	30	38	41	48	51	57	64	68	74	78	80	83	11.7	22.2	21	23.3	28.9	29.2	33.3	37.2	38.5	45.3	52.9	52.7	53.8	52.5	51.8
Cardiomegaly	MESH:D006332	25	25	28	34	40	46	51	56	60	65	70	74	78	81	82	40	36	39.2	35.2	37.5	36.9	41.1	44.6	43.3	46.1	45.7	47.2	44.8	45.6	43.9
Anxiety Disorders	MESH:D001008	19	23	25	33	49	53	60	65	68	70	73	77	80	81	82	36.8	30.4	40	48.4	63.2	64.1	63.3	63	61.7	60	60.2	61	58.7	58	57.3
Weight Loss	MESH:D015431	18	19	22	26	29	34	38	45	53	55	63	68	76	80	81	44.4	42.1	40.9	38.4	37.9	38.2	42.1	37.7	47.1	47.2	44.4	45.5	43.4	42.5	43.2
Pain, Postoperative	MESH:D010149	10	14	15	21	34	44	50	60	68	72	75	76	78	80	81	20	21.4	33.3	61.9	64.7	63.6	66	68.3	69.1	70.8	72	72.3	71.7	70	69.1
Bradycardia	MESH:D001919	25	27	34	42	47	51	55	61	67	72	74	78	80	81	81	44	33.3	44.1	45.2	42.5	39.2	43.6	42.6	44.7	45.8	44.5	46.1	48.7	48.1	48.1
Schizophrenia	MESH:D012559	21	23	24	31	40	42	54	63	65	68	71	71	74	76	80	76.1	78.2	79.1	64.5	67.5	71.4	74	77.7	73.8	73.5	73.2	73.2	74.3	72.3	72.5
Ventricular Dysfunction, Left	MESH:D018487	14	15	23	30	36	39	45	52	59	64	69	73	73	75	78	50	40	47.8	50	44.4	43.5	42.2	44.2	40.6	46.8	47.8	50.6	49.3	48	46.1
Hyperglycemia	MESH:D006943	30	32	32	40	45	48	51	55	56	60	69	72	76	78	78	63.3	59.3	56.2	50	53.3	52	47	43.6	44.6	41.6	47.8	45.8	42.1	42.3	42.3
Nerve Degeneration	MESH:D009410	24	25	27	31	42	46	47	53	56	62	64	68	71	75	76	25	32	29.6	32.2	42.8	36.9	36.1	35.8	35.7	37	40.6	39.7	40.8	46.6	47.3
Colonic Neoplasms	MESH:D003110	23	25	28	37	45	48	52	52	58	61	67	72	75	76	76	21.7	28	35.7	43.2	37.7	33.3	34.6	32.6	29.3	31.1	37.3	34.7	37.3	38.1	36.8
Tremor	MESH:D014202	14	16	20	26	36	41	47	57	63	64	66	69	70	72	75	35.7	25	55	57.6	47.2	48.7	53.1	52.6	55.5	56.2	54.5	56.5	57.1	56.9	58.6
Bipolar Disorder	MESH:D001714	7	7	10	20	35	41	53	62	65	67	68	69	73	74	75	28.5	28.5	10	60	57.1	60.9	67.9	67.7	64.6	64.1	63.2	60.8	58.9	58.1	60
Cardiomyopathies	MESH:D009202	22	22	24	30	36	41	44	49	53	61	66	68	70	74	74	36.3	31.8	29.1	30	36.1	34.1	36.3	36.7	39.6	42.6	40.9	39.7	40	41.8	40.5
Arthritis, Rheumatoid	MESH:D001172	17	21	24	27	35	40	46	49	55	60	61	65	66	70	70	29.4	38	37.5	40.7	51.4	57.4	60.8	65.3	67.2	65	63.9	63	62.1	67.1	65.7
Fever	MESH:D005334	15	17	21	26	32	41	47	50	54	58	62	65	68	69	69	26.6	29.4	38	42.3	40.6	46.3	48.9	44	46.2	44.8	50	46.1	45.5	42	42
Amnesia	MESH:D000647	36	38	42	44	47	49	50	52	54	57	61	64	67	69	69	55.5	57.8	52.3	54.5	53.1	55.1	54	59.6	55.5	57.8	63.9	64	65.6	65.2	62.3
Carcinoma, Hepatocellular	MESH:D006528	23	24	26	33	36	40	41	45	50	53	58	63	65	67	68	26	25	23	27.2	22.2	32.5	31.7	35.5	30	37.7	44.8	46	46.1	46.2	45.5
Atherosclerosis	MESH:D050197	15	16	20	27	37	41	44	46	49	54	56	61	63	66	67	53.3	50	55	51.8	43.2	41.4	43.1	41.3	38.7	44.4	50	49.1	49.2	46.9	46.2
Movement Disorders	MESH:D009069	11	13	16	20	27	31	40	47	52	55	58	61	65	67	67	0	15.3	25	25	22.2	25.8	27.5	44.6	44.2	41.8	41.3	40.9	41.5	38.8	37.3
Stomach Ulcer	MESH:D013276	24	26	28	33	39	42	45	50	51	54	57	61	65	66	66	25	26.9	35.7	39.3	41	38	40	42	43.1	46.2	50.8	47.5	44.6	42.4	42.4
Pancreatic Neoplasms	MESH:D010190	19	20	20	22	25	29	32	33	37	42	47	53	58	65	66	26.3	35	30	27.2	28	24.1	25	30.3	29.7	30.9	29.7	28.3	25.8	27.6	30.3
Migraine Disorders	MESH:D008881	6	7	8	17	27	34	37	46	48	53	57	61	62	62	63	0	0	12.5	29.4	40.7	44.1	45.9	43.4	41.6	47.1	43.8	50.8	50	50	49.2
Adenocarcinoma	MESH:D000230	12	13	16	19	22	27	31	33	40	44	50	54	57	62	63	8.33	7.69	12.5	21	18.1	18.5	25.8	24.2	25	34	38	40.7	38.5	41.9	41.2
Myocardial Ischemia	MESH:D017202	8	8	13	18	23	25	33	37	43	50	53	54	56	60	62	0	0	15.3	27.7	30.4	28	33.3	32.4	37.2	36	35.8	35.1	33.9	38.3	35.4
Staphylococcal Infections	MESH:D013203	14	17	21	23	26	30	39	40	45	48	52	55	60	60	61	78.5	76.4	76.1	69.5	69.2	73.3	76.9	77.5	82.2	79.1	78.8	81.8	81.6	81.6	81.9
Multiple Myeloma	MESH:D009101	14	16	19	21	26	30	32	34	41	43	50	54	55	60	60	14.2	25	36.8	38	30.7	36.6	40.6	41.1	41.4	44.1	46	46.2	47.2	41.6	40
Fibrosis	MESH:D005355	14	14	16	17	24	30	33	37	41	45	48	52	55	59	60	14.2	14.2	12.5	11.7	20.8	30	24.2	32.4	26.8	31.1	33.3	36.5	41.8	44	46.6
Reperfusion Injury	MESH:D015427	13	13	14	19	29	32	41	43	44	49	50	54	56	59	59	53.8	53.8	57.1	47.3	44.8	43.7	46.3	44.1	43.1	38.7	34	33.3	33.9	35.5	35.5
Postoperative Complications	MESH:D011183	3	6	10	12	19	22	27	38	42	47	51	56	57	59	59	0	0	10	8.33	5.26	9.09	3.7	28.9	30.9	27.6	25.4	25	24.5	27.1	27.1
Ovarian Neoplasms	MESH:D010051	15	16	19	21	23	23	23	24	36	41	46	49	52	58	59	26.6	25	31.5	38	34.7	34.7	34.7	41.6	41.6	46.3	47.8	44.8	44.2	46.5	47.4
Liver Cirrhosis, Experimental	MESH:D008106	18	18	18	21	28	34	37	40	45	46	50	53	56	58	59	33.3	27.7	27.7	33.3	32.1	41.1	35.1	37.5	35.5	32.6	46	43.3	42.8	43.1	44
Hemorrhage	MESH:D006470	19	21	22	27	30	33	39	41	48	53	56	56	58	58	59	10.5	19	13.6	11.1	16.6	21.2	25.6	24.3	35.4	37.7	39.2	39.2	39.6	37.9	37.2
Heart Diseases	MESH:D006331	15	16	17	23	29	33	39	43	45	50	52	53	57	59	59	0	12.5	11.7	13	27.5	27.2	20.5	20.9	22.2	24	25	26.4	29.8	28.8	28.8
Asthma	MESH:D001249	16	17	24	28	31	34	39	43	48	52	53	55	56	59	59	37.5	35.2	50	46.4	45.1	47	53.8	51.1	54.1	55.7	54.7	49	48.2	47.4	47.4
Mental Disorders	MESH:D001523	11	14	15	21	30	32	40	47	49	50	54	55	58	58	58	54.5	57.1	53.3	71.4	63.3	59.3	65	63.8	63.2	62	66.6	65.4	68.9	68.9	68.9
Renal Insufficiency	MESH:D051437	10	11	13	19	26	30	37	41	45	46	49	54	55	56	57	0	0	0	10.5	11.5	16.6	27	34.1	37.7	36.9	38.7	37	40	41	38.5
Tachycardia, Ventricular	MESH:D017180	12	13	16	21	27	31	34	38	44	50	52	52	53	54	57	16.6	7.69	12.5	33.3	25.9	25.8	35.2	42.1	38.6	38	38.4	36.5	35.8	35.1	38.5
Colorectal Neoplasms	MESH:D015179	12	13	17	22	24	29	32	33	38	40	44	48	51	56	57	33.3	38.4	29.4	27.2	29.1	34.4	37.5	36.3	36.8	40	43.1	45.8	49	46.4	47.3
Insulin Resistance	MESH:D007333	18	19	20	26	31	34	37	41	44	47	49	50	53	57	57	44.4	42.1	40	42.3	38.7	41.1	45.9	46.3	47.7	51	57.1	56	50.9	49.1	45.6
Bacterial Infections	MESH:D001424	8	9	16	19	25	29	36	39	45	49	50	53	56	56	57	37.5	33.3	50	57.8	52	44.8	52.7	58.9	60	55.1	56	58.4	58.9	58.9	59.6
Vomiting	MESH:D014839	9	9	12	16	20	25	31	38	42	49	51	54	54	55	56	44.4	44.4	41.6	37.5	40	36	29	36.8	35.7	42.8	43.1	42.5	42.5	41.8	41
Psychotic Disorders	MESH:D011618	10	13	15	20	31	33	43	48	49	50	52	53	55	56	56	60	61.5	66.6	65	67.7	69.6	72	75	75.5	76	75	75.4	76.3	75	75
Mammary Neoplasms, Experimental	MESH:D008325	19	20	21	26	29	33	36	39	43	45	50	51	54	55	56	26.3	25	23.8	34.6	44.8	36.3	44.4	46.1	41.8	40	42	41.1	40.7	43.6	46.4
Liver Cirrhosis	MESH:D008103	13	13	15	17	23	28	30	33	37	38	44	49	52	53	56	38.4	38.4	33.3	35.2	26	28.5	26.6	27.2	24.3	23.6	31.8	28.5	30.7	33.9	41
Urinary Bladder Neoplasms	MESH:D001749	16	16	18	22	23	28	31	33	44	47	49	50	53	56	56	12.5	12.5	22.2	27.2	26	32.1	35.4	36.3	36.3	40.4	38.7	42	41.5	44.6	44.6
Albuminuria	MESH:D000419	16	17	20	23	28	32	37	41	44	48	50	52	53	55	56	25	17.6	35	39.1	35.7	34.3	35.1	43.9	43.1	45.8	50	50	50.9	50.9	50
Depressive Disorder, Major	MESH:D003865	7	7	9	16	23	28	35	39	42	43	44	49	52	53	55	42.8	42.8	33.3	75	65.2	57.1	57.1	51.2	47.6	48.8	52.2	48.9	48	47.1	45.4
Brain Ischemia	MESH:D002545	14	14	17	24	29	36	40	43	44	48	52	52	53	55	55	7.14	7.14	11.7	20.8	17.2	25	32.5	32.5	31.8	35.4	36.5	36.5	39.6	36.3	36.3
Brain Injuries	MESH:D001930	9	9	9	11	18	20	27	35	39	45	49	50	52	54	55	11.1	11.1	11.1	9.09	22.2	20	25.9	22.8	30.7	40	44.8	44	42.3	46.2	45.4
Parkinsonian Disorders	MESH:D020734	17	17	20	22	26	27	31	37	41	42	42	46	49	53	54	47	47	45	40.9	34.6	40.7	51.6	48.6	51.2	52.3	50	52.1	57.1	58.4	55.5
Parkinson Disease	MESH:D010300	11	12	15	18	22	25	32	38	41	42	45	47	50	53	54	36.3	33.3	40	33.3	27.2	28	37.5	39.4	46.3	45.2	42.2	42.5	44	41.5	44.4
Learning Disabilities	MESH:D007859	21	23	24	29	33	35	38	41	43	47	49	49	51	53	54	33.3	30.4	33.3	34.4	39.3	42.8	44.7	41.4	39.5	40.4	40.8	40.8	43.1	41.5	37
Angina Pectoris	MESH:D000787	12	14	20	24	32	35	38	43	44	53	53	53	53	53	54	41.6	42.8	55	62.5	56.2	57.1	55.2	58.1	56.8	64.1	64.1	62.2	62.2	62.2	61.1
Leukemia, Myeloid, Acute	MESH:D015470	11	12	14	15	21	26	28	29	34	36	42	45	47	51	53	36.3	50	35.7	26.6	19	26.9	32.1	34.4	29.4	38.8	42.8	37.7	42.5	45	49
Pulmonary Edema	MESH:D011654	11	11	13	18	25	28	31	37	39	43	47	50	51	53	53	9.09	9.09	7.69	16.6	12	17.8	22.5	29.7	35.8	34.8	34	32	31.3	30.1	30.1
Ventricular Fibrillation	MESH:D014693	13	14	16	22	30	33	36	38	42	47	49	51	51	52	52	30.7	28.5	25	36.3	40	42.4	33.3	36.8	35.7	46.8	46.9	47	47	42.3	42.3
Myoclonus	MESH:D009207	6	9	10	14	27	28	31	38	41	44	48	50	51	52	52	16.6	33.3	30	21.4	29.6	28.5	35.4	36.8	36.5	36.3	35.4	38	39.2	38.4	36.5
Hypertension, Pulmonary	MESH:D006976	11	12	15	19	22	27	30	35	38	42	48	51	52	52	52	18.1	16.6	13.3	10.5	9.09	22.2	23.3	31.4	28.9	30.9	37.5	39.2	40.3	38.4	38.4
Fatty Liver	MESH:D005234	16	19	19	23	29	32	35	38	39	40	40	42	45	50	52	18.7	21	21	13	13.7	18.7	14.2	13.1	10.2	15	15	16.6	17.7	22	26.9
Epilepsy	MESH:D004827	8	11	13	15	20	23	30	37	40	45	46	48	50	50	52	25	36.3	38.4	33.3	30	30.4	40	43.2	50	53.3	50	54.1	57.9	57.9	59.6
Thrombosis	MESH:D013927	13	17	19	22	26	28	31	35	38	43	44	47	49	50	51	23	29.4	36.8	36.3	26.9	39.2	38.7	40	42.1	41.8	43.1	42.5	40.8	38	37.2
Pneumonia	MESH:D011014	8	10	13	17	18	22	31	35	39	43	48	49	51	51	51	25	40	38.4	29.4	33.3	36.3	48.3	54.2	53.8	55.8	56.2	55.1	54.9	54.9	54.9
Diabetic Nephropathies	MESH:D003928	13	14	15	20	24	27	30	35	39	41	45	49	50	51	51	7.69	7.14	13.3	30	33.3	37	36.6	45.7	41	46.3	51.1	53	56	54.9	54.9
Neoplasm Invasiveness	MESH:D009361	23	25	26	26	31	32	34	35	38	39	42	46	48	50	50	52.1	64	61.5	61.5	58	56.2	52.9	51.4	52.6	51.2	52.3	50	47.9	44	44
Hypercholesterolemia	MESH:D006937	15	18	19	24	27	31	33	35	38	40	43	47	49	50	50	20	27.7	31.5	37.5	33.3	48.3	54.5	48.5	52.6	52.5	58.1	53.1	51	46	46
Hypertrophy, Left Ventricular	MESH:D017379	9	9	11	14	19	22	26	32	36	40	43	47	47	49	49	22.2	22.2	27.2	42.8	31.5	31.8	46.1	62.5	63.8	62.5	65.1	68	68	65.3	65.3
Leukemia	MESH:D007938	10	10	13	15	17	19	20	21	29	31	38	42	44	48	49	30	20	38.4	33.3	35.2	31.5	30	33.3	31	29	36.8	38	43.1	43.7	42.8
Hyperplasia	MESH:D006965	9	11	14	17	23	25	28	31	35	38	42	46	48	49	49	44.4	36.3	42.8	35.2	34.7	36	35.7	38.7	40	39.4	38	34.7	31.2	30.6	30.6
Diarrhea	MESH:D003967	14	15	18	20	26	30	34	37	40	46	47	47	48	49	49	50	40	38.8	35	38.4	46.6	50	45.9	35	39.1	42.5	42.5	41.6	40.8	38.7
Atrial Fibrillation	MESH:D001281	9	11	13	17	19	23	25	32	39	43	46	46	46	48	49	44.4	36.3	38.4	41.1	31.5	30.4	28	37.5	35.8	32.5	36.9	36.9	36.9	37.5	36.7
Urinary Tract Infections	MESH:D014552	7	11	14	18	19	22	30	32	35	38	40	42	45	46	48	28.5	36.3	57.1	66.6	63.1	63.6	70	71.8	77.1	78.9	80	83.3	80	78.2	77
Obesity	MESH:D009765	16	18	18	21	26	27	30	31	33	37	40	41	44	47	47	50	50	50	47.6	42.3	37	33.3	29	27.2	27	20	19.5	20.4	25.5	25.5
Glioma	MESH:D005910	13	13	14	17	18	23	25	26	34	37	39	44	44	47	47	15.3	15.3	14.2	11.7	11.1	17.3	16	15.3	17.6	21.6	23	29.5	29.5	27.6	27.6
Glioblastoma	MESH:D005909	14	15	18	20	24	25	27	28	31	35	38	43	44	47	47	21.4	26.6	22.2	15	16.6	24	22.2	21.4	22.5	25.7	28.9	37.2	36.3	36.1	36.1
Carcinoma, Non-Small-Cell Lung	MESH:D002289	8	9	12	14	17	18	20	22	30	34	36	39	43	47	47	37.5	33.3	25	21.4	17.6	11.1	15	13.6	20	32.3	33.3	41	46.5	51	51
Alzheimer Disease	MESH:D000544	11	13	15	18	24	27	31	37	37	39	41	44	46	47	47	0	0	6.66	5.55	4.16	11.1	9.67	18.9	16.2	12.8	14.6	20.4	19.5	19.1	17
Liver Neoplasms	MESH:D008113	10	11	14	17	22	24	26	26	30	33	35	38	41	46	46	10	9.09	7.14	23.5	27.2	33.3	34.6	34.6	40	42.4	34.2	42.1	46.3	47.8	47.8
Stomach Neoplasms	MESH:D013274	10	11	13	16	20	23	23	24	29	33	35	38	40	45	45	0	0	0	6.25	20	30.4	30.4	29.1	34.4	39.3	40	34.2	35	37.7	37.7
Status Epilepticus	MESH:D013226	6	8	9	13	19	21	25	30	32	38	39	41	41	44	45	0	0	0	0	15.7	14.2	24	23.3	21.8	23.6	23	24.3	24.3	27.2	28.8
Muscle Rigidity	MESH:D009127	13	13	15	16	20	21	24	29	34	35	37	38	41	45	45	7.69	0	26.6	25	25	28.5	25	31	41.1	37.1	37.8	36.8	31.7	31.1	31.1
Hyperlipidemias	MESH:D006949	13	14	15	21	26	30	31	33	35	36	38	40	42	45	45	7.69	21.4	20	28.5	19.2	33.3	35.4	36.3	40	41.6	44.7	45	45.2	42.2	42.2
Cardiovascular Diseases	MESH:D002318	10	10	15	23	26	30	32	34	35	39	42	42	43	44	44	70	70	80	65.2	61.5	63.3	59.3	58.8	57.1	58.9	59.5	59.5	60.4	59	56.8
Carcinoma	MESH:D002277	6	8	12	17	20	22	23	24	29	33	34	37	40	44	44	0	0	8.33	23.5	25	18.1	17.3	16.6	20.6	33.3	35.2	40.5	42.5	38.6	38.6
Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198		2	5	5	9	11	13	15	21	25	29	35	37	42	43		0	0	0	22.2	27.2	46.1	53.3	42.8	52	58.6	57.1	62.1	61.9	60.4
Weight Gain	MESH:D015430	14	14	14	17	22	23	27	28	30	32	35	38	40	42	43	14.2	7.14	7.14	0	4.54	4.34	14.8	14.2	16.6	15.6	17.1	21	27.5	26.1	25.5
Psoriasis	MESH:D011565	7	9	13	15	20	21	24	26	31	35	35	38	39	43	43	0	11.1	38.4	33.3	35	33.3	41.6	46.1	51.6	57.1	57.1	60.5	64.1	69.7	69.7
Headache	MESH:D006261	3	4	6	12	21	27	29	36	38	41	43	43	43	43	43	0	0	0	8.33	28.5	37	34.4	44.4	42.1	43.9	44.1	44.1	44.1	41.8	39.5
Dystonia	MESH:D004421	5	6	7	11	17	20	27	34	35	39	40	40	42	43	43	0	16.6	28.5	27.2	29.4	30	44.4	50	51.4	48.7	52.5	50	47.6	46.5	46.5
Carcinoma, Squamous Cell	MESH:D002294	9	9	11	14	15	16	16	17	23	29	32	38	40	43	43	11.1	11.1	9.09	7.14	6.66	18.7	18.7	23.5	26	44.8	43.7	36.8	35	39.5	39.5
Personality Disorders	MESH:D010554	5	7	11	16	24	26	28	35	37	39	40	40	40	42	42	0	0	9.09	6.25	33.3	26.9	42.8	48.5	51.3	51.2	55	52.5	52.5	50	50
Endocarditis, Bacterial	MESH:D004697	9	11	14	16	16	20	27	28	31	34	37	37	42	42	42	100	90.9	92.8	87.5	87.5	85	85.1	85.7	87	82.3	81	81	83.3	83.3	83.3
Diabetes Mellitus, Type 2	MESH:D003924	11	13	14	19	22	23	25	27	27	29	33	36	39	42	42	27.2	23	7.14	21	13.6	17.3	24	22.2	22.2	20.6	33.3	33.3	30.7	38	38
Poisoning	MESH:D011041	15	17	17	21	23	26	28	34	35	38	38	38	39	41	41	26.6	23.5	23.5	19	21.7	26.9	32.1	44.1	40	36.8	36.8	36.8	38.4	36.5	36.5
Sleep Initiation and Maintenance Disorders	MESH:D007319	5	5	7	12	18	19	28	33	34	36	37	39	41	41	41	40	40	57.1	50	72.2	78.9	71.4	66.6	64.7	63.8	62.1	61.5	63.4	63.4	63.4
Disease Models, Animal	MESH:D004195	12	13	13	16	17	20	22	27	30	32	33	38	38	40	41	8.33	7.69	7.69	6.25	17.6	15	22.7	25.9	30	28.1	30.3	34.2	34.2	32.5	31.7
Stroke	MESH:D020521	4	4	5	11	14	20	24	28	32	33	36	37	38	40	40	0	0	0	45.4	35.7	40	37.5	35.7	37.5	33.3	38.8	37.8	36.8	40	40
Myocardial Reperfusion Injury	MESH:D015428	8	8	10	13	19	22	24	26	28	31	36	38	38	40	40	0	0	0	15.3	10.5	22.7	20.8	26.9	28.5	29	33.3	34.2	34.2	35	32.5
Psychomotor Agitation	MESH:D011595	5	6	6	9	14	16	25	30	33	36	37	39	39	40	40	0	0	0	0	14.2	12.5	44	43.3	42.4	44.4	43.2	46.1	46.1	50	50
Diabetes Mellitus, Experimental	MESH:D003921	13	14	15	19	23	25	28	30	33	34	36	38	40	40	40	38.4	35.7	33.3	36.8	30.4	36	39.2	43.3	36.3	35.2	44.4	42.1	47.5	47.5	47.5
Neuralgia	MESH:D009437	7	7	8	10	20	22	26	30	34	36	36	39	39	39	39	0	0	0	0	25	22.7	23	23.3	29.4	30.5	27.7	23	23	23	23
Ischemia	MESH:D007511	8	8	13	15	19	20	24	27	28	34	36	36	37	39	39	12.5	12.5	38.4	26.6	21	20	25	33.3	32.1	35.2	38.8	38.8	37.8	41	41
